FileName,Baseline_SNR,Baseline_MSE,Baseline_PESQ
sp01.wav,4.33014610208744,0.000431873170440098,0
sp02.wav,4.33314695876034,0.000680494921674325,0
sp03.wav,4.45017164931732,0.00055696743372468,0
sp04.wav,4.53951913959333,0.000737304760306891,0
sp05.wav,4.32167748210883,0.000696944870809628,0
sp06.wav,4.24822543297084,0.000793976846930809,0
sp07.wav,4.53690712227096,0.000544263964614746,0
sp08.wav,4.35560516508581,0.000650587240490945,0
sp09.wav,4.63565978096405,0.00064702411520877,0
sp10.wav,4.33887483417717,0.000737111480338077,0
sp11.wav,4.40656907782369,0.000842021602460421,0
sp12.wav,4.70163740186381,0.00066151070458432,0
sp13.wav,3.94897785332819,0.000923659571249684,0
sp14.wav,4.61089389612146,0.000763937578905114,0
sp15.wav,4.68672245581461,0.000683290303693915,0
sp16.wav,3.87546373574845,0.000775713621401696,0
sp17.wav,4.54909090484433,0.000594195048309025,0
sp18.wav,4.5987458940258,0.000550972787791092,0
sp19.wav,4.20278112624741,0.000883957086978935,0
sp20.wav,4.51095523354483,0.000775136243533659,0
sp21.wav,4.32621319158927,0.000658171472001339,0
sp22.wav,4.48654199436874,0.000481102947914165,0
sp23.wav,4.29664889044251,0.000594171931831628,0
sp24.wav,4.59150638410505,0.000528401915478761,0
sp25.wav,4.67076625410009,0.000599092766432811,0
sp26.wav,4.51414606903844,0.000632794309045671,0
sp27.wav,4.54597298732001,0.000563948088367551,0
sp28.wav,4.63399780419253,0.00065715768704124,0
sp29.wav,4.4912307473974,0.000705379981771561,0
sp30.wav,4.61964615338688,0.000649649506843085,0
sp01.wav,4.33014610208744,0.000431873170440098,0
sp02.wav,4.33314695876034,0.000680494921674325,0
sp03.wav,4.45017164931732,0.00055696743372468,0
sp04.wav,4.53951913959333,0.000737304760306891,0
sp05.wav,4.32167748210883,0.000696944870809628,0
sp06.wav,4.24822543297084,0.000793976846930809,0
sp07.wav,4.53690712227096,0.000544263964614746,0
sp08.wav,4.35560516508581,0.000650587240490945,0
sp09.wav,4.63565978096405,0.00064702411520877,0
sp10.wav,4.33887483417717,0.000737111480338077,0
sp11.wav,4.40656907782369,0.000842021602460421,0
sp12.wav,4.70163740186381,0.00066151070458432,0
sp13.wav,3.94897785332819,0.000923659571249684,0
sp14.wav,4.61089389612146,0.000763937578905114,0
sp15.wav,4.68672245581461,0.000683290303693915,0
sp16.wav,3.87546373574845,0.000775713621401696,0
sp17.wav,4.54909090484433,0.000594195048309025,0
sp18.wav,4.5987458940258,0.000550972787791092,0
sp19.wav,4.20278112624741,0.000883957086978935,0
sp20.wav,4.51095523354483,0.000775136243533659,0
sp21.wav,4.32621319158927,0.000658171472001339,0
sp22.wav,4.48654199436874,0.000481102947914165,0
sp23.wav,4.29664889044251,0.000594171931831628,0
sp24.wav,4.59150638410505,0.000528401915478761,0
sp25.wav,4.67076625410009,0.000599092766432811,0
sp26.wav,4.51414606903844,0.000632794309045671,0
sp27.wav,4.54597298732001,0.000563948088367551,0
sp28.wav,4.63399780419253,0.00065715768704124,0
sp29.wav,4.4912307473974,0.000705379981771561,0
sp30.wav,4.61964615338688,0.000649649506843085,0
