FileName,Noisy_SNR_dB,Enhanced_SNR_dB,Improvement_dB
sp01.wav,4.33014610208744,2.58458790164177,-1.74555820044567
sp02.wav,4.33314695876034,3.56539506065484,-0.767751898105496
sp03.wav,4.45017164931732,5.1460609371247,0.695889287807374
sp04.wav,4.53951913959333,6.25934650517161,1.71982736557829
sp05.wav,4.32167748210883,5.30149245078483,0.979814968676004
sp06.wav,4.24822543297084,7.38368727928007,3.13546184630923
sp07.wav,4.53690712227096,3.71588491103479,-0.821022211236172
sp08.wav,4.35560516508581,5.68123739869602,1.32563223361021
sp09.wav,4.63565978096405,5.34513694185864,0.709477160894589
sp10.wav,4.33887483417717,6.20789020874592,1.86901537456875
sp11.wav,4.40656907782369,5.65904823901677,1.25247916119308
sp12.wav,4.70163740186381,6.00248295606458,1.30084555420077
sp13.wav,3.94897785332819,7.18517246838516,3.23619461505697
sp14.wav,4.61089389612146,7.32874297137935,2.71784907525789
sp15.wav,4.68672245581461,6.11340354083076,1.42668108501615
sp16.wav,3.87546373574845,5.11686846690611,1.24140473115766
sp17.wav,4.54909090484433,4.41740580093575,-0.131685103908576
sp18.wav,4.5987458940258,3.38830256206719,-1.21044333195861
sp19.wav,4.20278112624741,7.36298137894678,3.16020025269937
sp20.wav,4.51095523354483,6.38817895973605,1.87722372619121
sp21.wav,4.32621319158927,5.68369625617123,1.35748306458195
sp22.wav,4.48654199436874,3.19637084277942,-1.29017115158932
sp23.wav,4.29664889044251,3.67065983209046,-0.625989058352046
sp24.wav,4.59150638410505,3.71278517397553,-0.878721210129516
sp25.wav,4.67076625410009,4.9936962967912,0.322930042691116
sp26.wav,4.51414606903844,6.12438783669508,1.61024176765665
sp27.wav,4.54597298732001,5.61096149471742,1.06498850739741
sp28.wav,4.63399780419253,6.71606816377634,2.08207035958381
sp29.wav,4.4912307473974,7.23256845812466,2.74133771072725
sp30.wav,4.61964615338688,6.67544179215625,2.05579563876936
sp01.wav,4.33014610208744,2.58458790164177,-1.74555820044567
sp02.wav,4.33314695876034,3.56539506065484,-0.767751898105496
sp03.wav,4.45017164931732,5.1460609371247,0.695889287807374
sp04.wav,4.53951913959333,6.25934650517161,1.71982736557829
sp05.wav,4.32167748210883,5.30149245078483,0.979814968676004
sp06.wav,4.24822543297084,7.38368727928007,3.13546184630923
sp07.wav,4.53690712227096,3.71588491103479,-0.821022211236172
sp08.wav,4.35560516508581,5.68123739869602,1.32563223361021
sp09.wav,4.63565978096405,5.34513694185864,0.709477160894589
sp10.wav,4.33887483417717,6.20789020874592,1.86901537456875
sp11.wav,4.40656907782369,5.65904823901677,1.25247916119308
sp12.wav,4.70163740186381,6.00248295606458,1.30084555420077
sp13.wav,3.94897785332819,7.18517246838516,3.23619461505697
sp14.wav,4.61089389612146,7.32874297137935,2.71784907525789
sp15.wav,4.68672245581461,6.11340354083076,1.42668108501615
sp16.wav,3.87546373574845,5.11686846690611,1.24140473115766
sp17.wav,4.54909090484433,4.41740580093575,-0.131685103908576
sp18.wav,4.5987458940258,3.38830256206719,-1.21044333195861
sp19.wav,4.20278112624741,7.36298137894678,3.16020025269937
sp20.wav,4.51095523354483,6.38817895973605,1.87722372619121
sp21.wav,4.32621319158927,5.68369625617123,1.35748306458195
sp22.wav,4.48654199436874,3.19637084277942,-1.29017115158932
sp23.wav,4.29664889044251,3.67065983209046,-0.625989058352046
sp24.wav,4.59150638410505,3.71278517397553,-0.878721210129516
sp25.wav,4.67076625410009,4.9936962967912,0.322930042691116
sp26.wav,4.51414606903844,6.12438783669508,1.61024176765665
sp27.wav,4.54597298732001,5.61096149471742,1.06498850739741
sp28.wav,4.63399780419253,6.71606816377634,2.08207035958381
sp29.wav,4.4912307473974,7.23256845812466,2.74133771072725
sp30.wav,4.61964615338688,6.67544179215625,2.05579563876936
